model_name,hidden_sizes,dropout_prob,epoch,train_loss,train_acc,test_loss,test_acc
MLP 1 Strato Nascosto,[512],0.0,1,0.23725005814325073,0.9610833333333333,0.13203641383236722,0.9576
MLP 1 Strato Nascosto,[512],0.0,2,0.09313049068702246,0.9818333333333333,0.08785302377942525,0.9724
MLP 1 Strato Nascosto,[512],0.0,3,0.05990325739539699,0.9878833333333333,0.06740135139980223,0.9788
MLP 1 Strato Nascosto,[512],0.0,4,0.04279413338758544,0.9923833333333333,0.06934307910622793,0.9792
MLP 1 Strato Nascosto,[512],0.0,5,0.03131054682599536,0.9938333333333333,0.0647478535870102,0.9807
MLP 1 Strato Nascosto,[512],0.0,6,0.02345235033634939,0.9951,0.06413644661885963,0.9817
MLP 1 Strato Nascosto,[512],0.0,7,0.01823306013805184,0.99445,0.07606665513042031,0.9776
MLP 1 Strato Nascosto,[512],0.0,8,0.017229630797009256,0.9951166666666666,0.07884364770493275,0.979
MLP 1 Strato Nascosto,[512],0.0,9,0.015442750831596307,0.9960166666666667,0.07835974093320112,0.9796
MLP 1 Strato Nascosto,[512],0.0,10,0.013183357461151093,0.9953666666666666,0.08358337622789055,0.9783
MLP 1 Strato Nascosto,[512],0.0,11,0.010273367006106794,0.9984333333333333,0.07336023869319883,0.9812
MLP 1 Strato Nascosto,[512],0.0,12,0.009625753056620862,0.9969,0.08671540357106176,0.9794
MLP 1 Strato Nascosto,[512],0.0,13,0.012470290005502567,0.9975,0.08664432833508347,0.9785
MLP 1 Strato Nascosto,[512],0.0,14,0.009339399996386066,0.9980333333333333,0.08503427852396563,0.9807
MLP 1 Strato Nascosto,[512],0.0,15,0.006304644689599706,0.9977166666666667,0.09192835596598485,0.9785
MLP 1 Strato Nascosto,[512],0.0,16,0.010703194229251721,0.9964166666666666,0.09521415481210077,0.98
MLP 1 Strato Nascosto,[512],0.0,17,0.006822862461549235,0.9990166666666667,0.08515152273229983,0.9818
MLP 1 Strato Nascosto,[512],0.0,18,0.008705189169203353,0.9961,0.10945489340041434,0.9776
MLP 1 Strato Nascosto,[512],0.0,19,0.006966057138482811,0.9982166666666666,0.09098423914566581,0.981
MLP 1 Strato Nascosto,[512],0.0,20,0.007147684953252232,0.9969666666666667,0.1181592849515747,0.9785
MLP 1 Strato Nascosto,[512],0.2,1,0.2517085217241285,0.97095,0.10593252010714216,0.9677
MLP 1 Strato Nascosto,[512],0.2,2,0.10617964177418238,0.9806333333333334,0.0843561234724814,0.9735
MLP 1 Strato Nascosto,[512],0.2,3,0.07480259258538358,0.9880166666666667,0.06820581237788466,0.9794
MLP 1 Strato Nascosto,[512],0.2,4,0.06102277427665524,0.9898,0.06390396870571023,0.9801
MLP 1 Strato Nascosto,[512],0.2,5,0.04665781131713216,0.9898333333333333,0.07269813877027895,0.9777
MLP 1 Strato Nascosto,[512],0.2,6,0.041179150008836755,0.99205,0.06848517851554052,0.9794
